,occ,dim_0,dim_1,emp_2018,wage,sqrt_emp
337,Insurance claims and policy processing clerks,-7.2509823,14.236638,293.9,40750.0,17.14351189225825
338,Insurance sales agents,1.9728047,15.599179,501.3,50940.0,22.38972978845435
339,Insurance underwriters,-1.7469523,15.874078,114.7,70020.0,10.709808588392232
340,Interior designers,29.400042,2.174135,77.9,56040.0,8.826097665446492
341,Interpreters and translators,4.299035,12.558288,77.4,51830.0,8.79772697916911
342,"Interviewers, except eligibility and loan",-12.981779,14.684144,201.9,34970.0,14.20915198032592
343,"Janitors and cleaners, except maids and housekeeping cleaners",-25.597292,0.6511268,2374.2,27430.0,48.725763205926285
347,"Kindergarten teachers, except special education",10.817576,11.861464,127.7,56850.0,11.30044246921332
348,Labor relations specialists,28.534857,20.93937,78.9,69020.0,8.882567196480982
349,"Laborers and freight, stock, and material movers, hand",-23.12545,-2.3688767,2986.0,29510.0,54.644304369257
351,Landscaping and groundskeeping workers,-29.18199,-9.505111,1188.0,30440.0,34.46737587922817
353,Laundry and dry-cleaning workers,-26.725115,-2.103977,215.2,24220.0,14.669696656713798
355,Lawyers,7.6456714,22.319855,813.9,122960.0,28.52893268245414
357,Legal secretaries and administrative assistants,-7.985843,13.542236,171.8,47300.0,13.107249902248755
358,"Library assistants, clerical",-9.578728,9.767686,90.5,27490.0,9.513148795220223
360,Library technicians,-10.458546,10.199666,94.1,34900.0,9.70051545022222
361,Licensed practical and licensed vocational nurses,13.82051,-2.0401113,721.7,47480.0,26.864474683120086
362,"Life, physical, and social science technicians, all other",-0.15481706,-3.4950538,71.0,50550.0,8.426149773176359
363,"Lifeguards, ski patrol, and other recreational protective service workers",-22.557003,5.737405,149.8,23420.0,12.239281024635394
364,Light truck drivers,-18.952738,-1.961447,1018.6,34730.0,31.91551346915791
365,Loan interviewers and clerks,0.41080034,12.469748,212.6,40640.0,14.580809305384937
366,Loan officers,1.2152432,14.489684,316.9,63270.0,17.80168531347524
370,Lodging managers,18.055332,6.441384,57.2,54430.0,7.563068160475615
372,Logging equipment operators,-1.2647469,-22.39048,39.2,41440.0,6.260990336999411
373,Logisticians,30.730036,8.491846,188.2,74750.0,13.718600511714014
374,Machine feeders and offbearers,-29.055605,-6.1936383,62.9,31180.0,7.930952023559341
375,Machinists,-23.355846,-15.357456,388.1,44420.0,19.700253805471643
376,Magnetic resonance imaging technologists,9.248071,-2.828071,38.7,73410.0,6.220932405998316
377,Maids and housekeeping cleaners,-18.200336,1.5893878,1474.9,24850.0,38.40442682816657
378,"Mail clerks and mail machine operators, except postal service",-27.892185,0.45233285,88.4,30960.0,9.402127418834526
379,"Maintenance and repair workers, general",-24.544987,-7.8974514,1516.4,39080.0,38.94098098404815
380,"Maintenance workers, machinery",-25.24707,-17.500273,73.2,47520.0,8.555699854482976
382,Management analysts,28.721346,23.928026,876.3,85260.0,29.602364770403057
383,Manicurists and pedicurists,-25.691418,4.4727845,155.3,25770.0,12.461942063739505
386,Market research analysts and marketing specialists,24.763474,21.169056,738.1,63790.0,27.167995877502634
387,Marketing managers,30.490828,17.995407,286.3,136850.0,16.92040188648012
388,Marriage and family therapists,14.911696,14.85362,66.2,49610.0,8.136338242723197
389,Massage therapists,-12.51037,6.242554,166.7,42820.0,12.911235417263523
392,"Mathematical science teachers, postsecondary",15.419238,18.060635,60.1,73690.0,7.752418977325722
394,"Meat, poultry, and fish cutters and trimmers",-18.09343,-11.075688,161.8,28100.0,12.720062892926277
396,Mechanical drafters,-2.488412,1.8314825,57.5,57060.0,7.582875444051551
397,Mechanical engineering technologists and technicians,5.8250504,-16.881048,43.5,56980.0,6.59545297913646
398,Mechanical engineers,32.916256,9.217625,316.3,88430.0,17.78482499211055
399,Medical and health services managers,31.53592,20.92582,422.3,100980.0,20.549939172659368
401,Medical assistants,10.307683,-1.9540099,725.2,34800.0,26.929537686339884
402,Medical equipment preparers,4.217773,-11.255717,58.7,37440.0,7.661592523751182
403,Medical equipment repairers,6.6000566,-18.314625,53.9,49280.0,7.341661937191061
404,"Medical scientists, except epidemiologists",28.537046,13.119245,138.3,88790.0,11.76010204037363
405,Medical secretaries and administrative assistants,-7.2323227,12.94878,623.4,36580.0,24.96797949374358
406,Medical transcriptionists,-10.998345,15.963202,58.5,33380.0,7.648529270389178
407,"Meeting, convention, and event planners",20.185183,3.865279,138.6,50600.0,11.77285012220915
408,Mental health and substance abuse social workers,13.551229,14.668541,123.2,46650.0,11.099549540409287
409,Merchandise displayers and window trimmers,-15.048823,4.641454,180.4,29460.0,13.431306712304652
413,"Middle school teachers, except special and career/technical education",12.386114,12.226397,627.1,59660.0,25.041964779146223
415,Millwrights,11.913417,-17.1303,48.7,55560.0,6.978538528947161
417,"Mixing and blending machine setters, operators, and tenders",-26.084684,-9.621953,128.0,37780.0,11.313708498984761
418,"Mobile heavy equipment mechanics, except engines",3.1823676,-22.146194,152.9,53370.0,12.365273955719704
422,"Molders, shapers, and casters, except metal and plastic",-22.745657,-13.259763,49.4,34030.0,7.0285133563222315
423,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",-26.22807,-12.941245,173.4,32130.0,13.168143377105217
429,"Multiple machine tool setters, operators, and tenders, metal and plastic",-23.751078,-13.975057,150.5,36330.0,12.267844146385297
431,Music directors and composers,8.151503,16.611353,58.0,51670.0,7.615773105863909
434,Natural sciences managers,29.001274,8.8224125,71.4,129100.0,8.449852069711044
435,New accounts clerks,2.3421643,13.385112,44.3,36550.0,6.6558245169174945
440,Nurse anesthetists,18.20838,-1.4423611,44.9,174790.0,6.700746227100382
442,Nurse practitioners,17.316559,0.16437562,211.3,109820.0,14.536161804272819
443,"Nursing instructors and teachers, postsecondary",18.37146,0.47699577,72.9,74600.0,8.538149682454625
444,Occupational therapists,11.255742,8.398983,143.3,84950.0,11.970797801316335
446,Occupational therapy assistants,6.6851015,0.10266672,47.1,61510.0,6.862943974709396
447,"Office clerks, general",-9.672192,11.68066,3126.3,34040.0,55.91332578196364
448,"Office machine operators, except computer",-15.926727,-5.146573,47.3,33450.0,6.877499545619759
449,Operating engineers and other construction equipment operators,-8.059057,-20.560305,418.0,48980.0,20.445048300260872
450,Operations research analysts,22.739737,22.605642,105.1,84810.0,10.251829105091442
452,Ophthalmic medical technicians,9.633384,-0.48738226,59.5,36940.0,7.713624310270756
453,"Opticians, dispensing",13.369321,3.1628592,73.8,37840.0,8.590692637965812
454,Optometrists,15.050296,0.9062254,44.4,115250.0,6.663332499583072
456,Order clerks,3.6121626,7.5309706,146.0,34240.0,12.083045973594572
460,Packaging and filling machine operators and tenders,-19.690554,-12.818775,392.1,30990.0,19.801515093547767
461,"Packers and packagers, hand",-4.6319985,-15.844112,640.8,25910.0,25.314027731674784
462,"Painters, construction and maintenance",-12.412268,-15.29229,379.5,40280.0,19.480759738778158
464,"Paper goods machine setters, operators, and tenders",-21.259228,-13.366222,100.4,39210.0,10.019980039900279
466,Paralegals and legal assistants,-4.559798,15.562441,337.8,51740.0,18.379336223052235
467,Parking attendants,-22.577175,3.6877637,149.8,25140.0,12.239281024635394
469,Parts salespersons,-7.0593143,-5.329497,261.7,31710.0,16.17714437099453
473,"Paving, surfacing, and tamping equipment operators",-13.8812895,-22.568302,46.6,40130.0,6.826419266350405
